epoch,g_loss,d_loss,l1_loss,perc_loss,val_ssim,val_psnr,val_lab_error,g_diff,param_changed_pct,lr,epoch_duration_s,l1,adv,perc,ssim_loss,chroma,feat,g_grad_norm,d_grad_norm,g_lr,d_lr,val_mae,val_rmse,val_sam,val_sat_ratio,val_hist_dist,duration_sec
1,51.5933,0.4328,0.4588,4.0792,0.1111,10.7,29.71,0.03394,85.3,0.0002,239.6,,,,,,,,,,,,,,,,
2,49.5564,0.36,0.4719,3.8123,0.1077,10.2,31.01,0.02383,85.3,0.0002,213.0,,,,,,,,,,,,,,,,
3,49.5824,0.3511,0.482,3.792,0.1073,9.94,31.81,0.0253,85.3,0.0002,212.4,,,,,,,,,,,,,,,,
4,49.6485,0.3489,0.4872,3.7884,0.1111,10.01,31.38,0.03273,85.3,0.0002,212.8,,,,,,,,,,,,,,,,
5,49.6539,0.354,0.484,3.7925,0.1189,10.24,30.6,0.03622,85.3,0.0002,210.1,,,,,,,,,,,,,,,,
6,49.3698,0.3585,0.4597,3.7997,0.1284,10.42,30.13,0.0396,85.3,0.0002,210.3,,,,,,,,,,,,,,,,
7,49.2393,0.3593,0.4543,3.7954,0.1331,10.6,29.83,0.03184,85.3,0.000198,210.5,,,,,,,,,,,,,,,,
8,49.1481,0.3576,0.4499,3.7908,0.1327,10.46,30.4,0.03093,85.3,0.000196,211.9,,,,,,,,,,,,,,,,
9,49.0261,0.3569,0.4504,3.7757,0.141,10.74,29.7,0.02853,85.3,0.000194,210.3,,,,,,,,,,,,,,,,
10,49.1394,0.3565,0.452,3.7865,0.1096,9.81,32.28,0.02465,85.3,0.000192,210.2,,,,,,,,,,,,,,,,
11,49.0457,0.3535,0.4534,3.7701,0.1429,10.76,29.75,0.01837,85.3,0.000189,221.8,,,,,,,,,,,,,,,,
12,49.0385,0.3556,0.4462,3.7806,0.1426,10.67,29.94,0.02124,85.3,0.000187,210.2,,,,,,,,,,,,,,,,
13,49.0599,0.3537,0.4474,3.7767,0.1455,11.31,34.01,0.01958,85.3,0.000185,210.2,,,,,,,,,,,,,,,,
14,49.0,0.3527,0.4536,3.7677,0.1437,10.68,30.09,0.0207,85.3,0.000183,210.3,,,,,,,,,,,,,,,,
15,48.957,0.3508,0.4502,3.7638,0.1443,10.75,30.17,0.02112,85.3,0.000181,222.5,,,,,,,,,,,,,,,,
16,49.0956,0.3537,0.4436,3.786,0.1451,10.86,29.35,0.02302,85.3,0.000179,209.7,,,,,,,,,,,,,,,,
17,48.8494,0.3504,0.4472,3.7571,0.1451,10.84,29.59,0.01588,85.3,0.000177,210.0,,,,,,,,,,,,,,,,
18,48.837,0.3494,0.4448,3.758,0.1461,10.92,29.29,0.02269,85.3,0.000175,210.2,,,,,,,,,,,,,,,,
19,48.8365,0.3505,0.4422,3.7618,0.144,10.87,29.45,0.01709,85.3,0.000173,232.1,,,,,,,,,,,,,,,,
20,48.7769,0.3489,0.4407,3.7566,0.1445,10.99,29.24,0.01913,85.3,0.000171,242.8,,,,,,,,,,,,,,,,
21,48.7342,0.3481,0.4384,3.7553,0.1473,11.03,29.2,0.03512,85.3,0.000168,235.2,,,,,,,,,,,,,,,,
22,48.7736,0.3497,0.4376,3.7618,0.1471,11.02,29.3,0.01594,85.2,0.000166,220.9,,,,,,,,,,,,,,,,
23,48.6292,0.3481,0.4349,3.7509,0.143,10.91,29.25,0.01367,85.2,0.000164,221.0,,,,,,,,,,,,,,,,
24,48.5986,0.3475,0.4335,3.75,0.1463,11.24,28.39,0.01552,85.2,0.000162,226.4,,,,,,,,,,,,,,,,
25,48.6088,0.3469,0.4316,3.7522,0.1473,11.43,30.54,0.01911,85.2,0.00016,222.0,,,,,,,,,,,,,,,,
26,48.6006,0.348,0.4284,3.757,0.1479,11.33,28.14,0.01203,85.2,0.000158,212.4,,,,,,,,,,,,,,,,
27,48.5667,0.3474,0.4287,3.753,0.1471,11.27,28.26,0.01745,85.3,0.000156,216.1,,,,,,,,,,,,,,,,
28,48.4901,0.3458,0.4281,3.7448,0.1474,11.31,28.24,0.01737,85.2,0.000154,212.4,,,,,,,,,,,,,,,,
