Region,Sample,Classification,Mean,Std,Variance,Zero %,NaN %,Inf %,Min,Max,Unique Values
abuja,sample_000,VALID,21412.89453125,16969.11328125,287950784.0,0.0,0.0,0.0,7954.970703125,49844.59375,68895
abuja,sample_001,VALID,21401.458984375,16932.06640625,286694880.0,0.0,0.0,0.0,7954.970703125,49844.59375,68860
abuja,sample_002,VALID,21258.189453125,16877.984375,284866336.0,0.0,0.0,0.0,8081.1962890625,49844.59375,68887
abuja,sample_003,VALID,21134.142578125,16889.89453125,285268512.0,0.0,0.0,0.0,8081.1962890625,49294.67578125,68933
abuja,sample_004,VALID,21083.154296875,16914.7734375,286109536.0,0.0,0.0,0.0,8019.93310546875,49247.546875,68946
abuja,sample_005,VALID,21109.76953125,16952.99609375,287404064.0,0.0,0.0,0.0,8019.93310546875,49455.703125,68943
abuja,sample_006,VALID,21611.62109375,16977.849609375,288247392.0,0.0,0.0,0.0,8166.40087890625,49844.59375,68868
abuja,sample_007,VALID,21543.1328125,16941.54296875,287015904.0,0.0,0.0,0.0,8110.99267578125,49844.59375,68857
abuja,sample_008,VALID,21406.990234375,16906.607421875,285833376.0,0.0,0.0,0.0,8042.07568359375,49844.59375,68833
abuja,sample_009,VALID,21332.046875,16905.8515625,285807808.0,0.0,0.0,0.0,8042.07568359375,49254.234375,68882
abuja,sample_010,VALID,21283.322265625,16909.63671875,285935808.0,0.0,0.0,0.0,8019.93310546875,49247.546875,68903
abuja,sample_011,VALID,21276.109375,16926.734375,286514304.0,0.0,0.0,0.0,8019.93310546875,49455.703125,68910
abuja,sample_012,VALID,21673.654296875,17012.064453125,289410336.0,0.0,0.0,0.0,8161.67333984375,49732.26953125,68827
abuja,sample_013,VALID,21584.337890625,16980.04296875,288321888.0,0.0,0.0,0.0,8161.67333984375,49495.125,68851
abuja,sample_014,VALID,21512.068359375,16938.173828125,286901728.0,0.0,0.0,0.0,8042.07568359375,49495.125,68812
abuja,sample_015,VALID,21484.45703125,16911.70703125,286005856.0,0.0,0.0,0.0,8042.07568359375,49254.234375,68826
abuja,sample_016,VALID,21429.0625,16884.8828125,285099264.0,0.0,0.0,0.0,8019.93310546875,49247.546875,68860
abuja,sample_017,VALID,21367.150390625,16880.224609375,284941984.0,0.0,0.0,0.0,8019.93310546875,49247.546875,68883
abuja,sample_018,VALID,21667.38671875,17091.796875,292129536.0,0.0,0.0,0.0,8161.67333984375,49759.2109375,68795
abuja,sample_019,VALID,21586.662109375,17054.140625,290843680.0,0.0,0.0,0.0,8161.67333984375,49759.2109375,68856
abuja,sample_020,VALID,21570.27734375,16981.3203125,288365248.0,0.0,0.0,0.0,8042.07568359375,49759.2109375,68800
abuja,sample_021,VALID,21586.521484375,16918.69140625,286242112.0,0.0,0.0,0.0,8042.07568359375,49487.74609375,68776
abuja,sample_022,VALID,21546.771484375,16861.091796875,284296416.0,0.0,0.0,0.0,8042.07568359375,49487.74609375,68778
abuja,sample_023,VALID,21438.1484375,16852.7734375,284015968.0,0.0,0.0,0.0,8023.31298828125,49487.74609375,68828
abuja,sample_024,VALID,21750.205078125,17117.30078125,293001984.0,0.0,0.0,0.0,8161.67333984375,49991.18359375,68804
abuja,sample_025,VALID,21700.64453125,17064.79296875,291207168.0,0.0,0.0,0.0,8161.67333984375,49991.18359375,68814
abuja,sample_026,VALID,21653.31640625,16985.646484375,288512192.0,0.0,0.0,0.0,8042.07568359375,49759.2109375,68801
abuja,sample_027,VALID,21621.48828125,16925.681640625,286478720.0,0.0,0.0,0.0,8042.07568359375,49487.74609375,68778
abuja,sample_028,VALID,21545.703125,16878.345703125,284878560.0,0.0,0.0,0.0,8042.07568359375,49487.74609375,68743
abuja,sample_029,VALID,21420.375,16841.904296875,283649760.0,0.0,0.0,0.0,7996.53076171875,49487.74609375,68811
abuja,sample_030,VALID,21796.443359375,17142.736328125,293873376.0,0.0,0.0,0.0,8161.67333984375,49991.18359375,68738
abuja,sample_031,VALID,21770.626953125,17079.916015625,291723552.0,0.0,0.0,0.0,8161.67333984375,49991.18359375,68770
abuja,sample_032,VALID,21733.072265625,16999.44140625,288980992.0,0.0,0.0,0.0,8153.18115234375,49759.2109375,68785
abuja,sample_033,VALID,21682.25,16939.03515625,286930944.0,0.0,0.0,0.0,8153.18115234375,49487.74609375,68792
abuja,sample_034,VALID,21595.359375,16906.19140625,285819296.0,0.0,0.0,0.0,8153.18115234375,49487.74609375,68782
abuja,sample_035,VALID,21465.751953125,16880.576171875,284953856.0,0.0,0.0,0.0,7996.53076171875,49487.74609375,68832
abu_dhabi,sample_000,VALID,18702.62890625,17309.427734375,299616320.0,3.287281709558824,0.0,0.0,0.0,52426.44140625,65030
abu_dhabi,sample_001,VALID,20113.33984375,17315.75390625,299835360.0,0.0,0.0,0.0,6354.45849609375,54309.640625,67911
abu_dhabi,sample_002,VALID,20871.6953125,17290.939453125,298976576.0,0.0,0.0,0.0,3533.79638671875,54309.640625,68296
abu_dhabi,sample_003,VALID,21761.36328125,17173.27734375,294921472.0,0.0,0.0,0.0,3533.79638671875,54309.640625,68483
abu_dhabi,sample_004,VALID,22709.154296875,16841.431640625,283633824.0,0.0,0.0,0.0,3533.79638671875,54309.640625,68889
abu_dhabi,sample_005,VALID,23180.732421875,16491.69921875,271976128.0,0.0,0.0,0.0,3533.79638671875,53199.51171875,69156
abu_dhabi,sample_006,VALID,19852.9453125,17202.765625,295935168.0,0.9148092830882353,0.0,0.0,0.0,52426.44140625,66925
abu_dhabi,sample_007,VALID,21111.576171875,17234.25,297019360.0,0.0,0.0,0.0,6354.45849609375,54309.640625,68546
abu_dhabi,sample_008,VALID,22074.5,17192.880859375,295595136.0,0.0,0.0,0.0,3533.79638671875,54309.640625,68993
abu_dhabi,sample_009,VALID,22891.990234375,17022.53515625,289766688.0,0.0,0.0,0.0,3533.79638671875,54309.640625,69231
abu_dhabi,sample_010,VALID,23711.51953125,16661.87109375,277617920.0,0.0,0.0,0.0,3533.79638671875,54309.640625,69322
abu_dhabi,sample_011,VALID,23940.74609375,16360.1943359375,267655952.0,0.0,0.0,0.0,3533.79638671875,53199.51171875,69359
abu_dhabi,sample_012,VALID,21028.341796875,16933.7109375,286750592.0,0.011488970588235293,0.0,0.0,0.0,52498.19921875,68092
abu_dhabi,sample_013,VALID,22125.14453125,16978.89453125,288282880.0,0.0,0.0,0.0,6076.19091796875,54309.640625,68943
abu_dhabi,sample_014,VALID,23156.603515625,16955.107421875,287475680.0,0.0,0.0,0.0,3533.79638671875,54309.640625,69277
abu_dhabi,sample_015,VALID,23924.8828125,16848.7890625,283881696.0,0.0,0.0,0.0,3533.79638671875,54309.640625,69352
abu_dhabi,sample_016,VALID,24218.48828125,16679.224609375,278196512.0,0.0,0.0,0.0,3533.79638671875,54309.640625,69368
abu_dhabi,sample_017,VALID,24311.958984375,16490.0546875,271921920.0,0.0,0.0,0.0,3533.79638671875,53661.0078125,69381
abu_dhabi,sample_018,VALID,21843.716796875,16705.927734375,279088032.0,0.0,0.0,0.0,6532.361328125,52498.19921875,68643
abu_dhabi,sample_019,VALID,22601.412109375,16746.267578125,280437472.0,0.0,0.0,0.0,6076.19091796875,52721.234375,69125
abu_dhabi,sample_020,VALID,23708.919921875,16695.69921875,278746368.0,0.0,0.0,0.0,3533.79638671875,53111.7109375,69291
abu_dhabi,sample_021,VALID,24185.814453125,16698.701171875,278846624.0,0.0,0.0,0.0,3533.79638671875,53740.046875,69320
abu_dhabi,sample_022,VALID,24187.82421875,16704.787109375,279049888.0,0.0,0.0,0.0,3533.79638671875,53740.046875,69344
abu_dhabi,sample_023,VALID,24149.68359375,16657.453125,277470752.0,0.0,0.0,0.0,3533.79638671875,53740.046875,69373
abu_dhabi,sample_024,VALID,23126.171875,16334.119140625,266803440.0,0.0,0.0,0.0,6532.361328125,52498.19921875,69123
abu_dhabi,sample_025,VALID,23275.021484375,16405.126953125,269128160.0,0.0,0.0,0.0,6076.19091796875,52721.234375,69226
abu_dhabi,sample_026,VALID,24036.458984375,16353.5791015625,267439552.0,0.0,0.0,0.0,6076.19091796875,52821.421875,69318
abu_dhabi,sample_027,VALID,24119.26171875,16436.55859375,270160480.0,0.0,0.0,0.0,6076.19091796875,53740.046875,69317
abu_dhabi,sample_028,VALID,24152.716796875,16524.326171875,273053344.0,0.0,0.0,0.0,4459.8203125,53740.046875,69354
abu_dhabi,sample_029,VALID,24338.56640625,16590.869140625,275256928.0,0.0,0.0,0.0,4459.8203125,53740.046875,69380
abu_dhabi,sample_030,VALID,23997.537109375,16018.7158203125,256599248.0,0.0,0.0,0.0,6532.361328125,52854.93359375,69172
abu_dhabi,sample_031,VALID,23546.150390625,16221.3583984375,263132464.0,0.0,0.0,0.0,6076.19091796875,52854.93359375,69181
abu_dhabi,sample_032,VALID,23985.013671875,16187.8212890625,262045552.0,0.0,0.0,0.0,6076.19091796875,52854.93359375,69286
abu_dhabi,sample_033,VALID,23982.197265625,16169.5615234375,261454720.0,0.0,0.0,0.0,6076.19091796875,53740.046875,69278
abu_dhabi,sample_034,VALID,24004.92578125,16396.787109375,268854656.0,0.0,0.0,0.0,4459.8203125,54242.28125,69342
abu_dhabi,sample_035,VALID,24617.271484375,16511.4453125,272627808.0,0.0,0.0,0.0,4459.8203125,54242.28125,69386
accra,sample_000,VALID,21785.337890625,16320.8203125,266369168.0,0.0,0.0,0.0,136.1764678955078,48662.08984375,69157
accra,sample_001,VALID,21683.416015625,16377.451171875,268220896.0,0.0,0.0,0.0,136.1764678955078,48662.08984375,69160
accra,sample_002,VALID,21736.83203125,16429.595703125,269931584.0,0.0,0.0,0.0,136.1764678955078,48765.75,69107
accra,sample_003,VALID,21809.486328125,16449.94140625,270600544.0,0.0,0.0,0.0,136.1764678955078,48765.75,69067
accra,sample_004,VALID,21922.18359375,16456.896484375,270829440.0,0.0,0.0,0.0,838.166748046875,49020.875,68991
accra,sample_005,VALID,22109.13671875,16402.98828125,269058048.0,0.0,0.0,0.0,1175.179931640625,49167.19921875,68954
accra,sample_006,VALID,22067.037109375,16205.6865234375,262624288.0,0.0,0.0,0.0,136.1764678955078,48662.08984375,69166
accra,sample_007,VALID,21961.705078125,16260.07421875,264390016.0,0.0,0.0,0.0,136.1764678955078,48662.08984375,69137
accra,sample_008,VALID,21942.044921875,16332.310546875,266744352.0,0.0,0.0,0.0,136.1764678955078,49172.31640625,69123
accra,sample_009,VALID,21997.25,16298.7744140625,265650048.0,0.0,0.0,0.0,136.1764678955078,49172.31640625,69122
accra,sample_010,VALID,22126.703125,16287.1923828125,265272624.0,0.0,0.0,0.0,320.06378173828125,49172.31640625,69099
accra,sample_011,VALID,22346.669921875,16201.8544921875,262500080.0,0.0,0.0,0.0,320.06378173828125,49172.31640625,69045
accra,sample_012,VALID,22218.732421875,16158.2353515625,261088560.0,0.0,0.0,0.0,399.51177978515625,48893.88671875,69197
accra,sample_013,VALID,22132.546875,16179.189453125,261766176.0,0.0,0.0,0.0,376.94903564453125,48993.5546875,69200
accra,sample_014,VALID,22081.791015625,16247.9990234375,263997472.0,0.0,0.0,0.0,320.06378173828125,49172.31640625,69187
accra,sample_015,VALID,22123.205078125,16188.7626953125,262076048.0,0.0,0.0,0.0,320.06378173828125,49172.31640625,69178
accra,sample_016,VALID,22212.87890625,16156.53125,261033504.0,0.0,0.0,0.0,320.06378173828125,49172.31640625,69172
accra,sample_017,VALID,22268.498046875,16101.9716796875,259273488.0,0.0,0.0,0.0,320.06378173828125,49172.31640625,69143
accra,sample_018,VALID,22399.859375,16058.240234375,257867088.0,0.0,0.0,0.0,399.51177978515625,49221.14453125,69219
accra,sample_019,VALID,22269.580078125,16097.830078125,259140128.0,0.0,0.0,0.0,344.76580810546875,49221.14453125,69235
accra,sample_020,VALID,22101.474609375,16176.2509765625,261671088.0,0.0,0.0,0.0,320.06378173828125,49221.14453125,69231
accra,sample_021,VALID,21913.375,16177.50390625,261711632.0,0.0,0.0,0.0,320.06378173828125,49221.14453125,69241
